maker,genmodel,genmodel_ID,import_year,import_month,import_region,color,model_year,body_type,runned_miles,engine_size,gearbox_type,fuel_type,listed_price,seat_num,door_num,reg_city,title,sale_year,sale_month,sale_status,import_to_sale_months,electric_type,country_of_origin,date_of_import,date_of_sale
Jeep,Grand Cherokee,40_4,2018,8,USA,Silver,2007,SUV,164000,3.0,Automatic,Diesel,2000,5,5,Aden,clean,2021.0,11.0,sold,39.0,not_fully_electric,American,"August, 2018","November, 2021"
Mercedes-Benz,C Class,59_12,2018,4,USA,Blue,2007,Saloon,90821,1.8,Automatic,Petrol,2200,5,4,Hadhramout,body_damage,2020.0,5.0,sold,25.0,not_fully_electric,European,"April, 2018","May, 2020"
Mercedes-Benz,C Class,59_12,2019,3,USA,Blue,2007,Saloon,196698,1.8,Automatic,Petrol,2300,5,4,Aden,clean,2022.0,9.0,sold,42.0,not_fully_electric,European,"March, 2019","September, 2022"
Jeep,Grand Cherokee,40_4,2017,4,USA,Black,2007,SUV,150000,3.0,Automatic,Diesel,2500,5,5,Sana'a,body_damage,,,unsold,,not_fully_electric,American,"April, 2017",
Mercedes-Benz,C Class,59_12,2017,5,USA,Black,2008,Saloon,150000,2.1,Manual,Diesel,2500,5,4,Aden,clean,,,unsold,,not_fully_electric,European,"May, 2017",
Kia,Soul,43_12,2017,8,Korea,Black,2009,Hatchback,97000,1.6,Manual,Petrol,2800,5,5,Hudaydah,body_damage,2018.0,7.0,sold,11.0,not_fully_electric,Korean,"August, 2017","July, 2018"
Jeep,Grand Cherokee,40_4,2017,8,USA,Silver,2007,SUV,128000,3.0,Automatic,Diesel,2900,5,5,Hudaydah,clean,,,unsold,,not_fully_electric,American,"August, 2017",
Toyota,Hilux,92_19,2017,7,GCC,Black,2009,Pickup,253000,3.0,Automatic,Diesel,2900,4,4,Aden,clean,2018.0,6.0,sold,11.0,not_fully_electric,Japanese,"July, 2017","June, 2018"
Kia,Sportage,43_13,2017,3,Korea,Silver,2008,SUV,104000,2.0,Manual,Diesel,3000,5,5,Hadhramout,body_damage,2018.0,2.0,sold,11.0,not_fully_electric,Korean,"March, 2017","February, 2018"
Kia,Rio,43_9,2017,4,Korea,Black,2010,Hatchback,91000,1.4,Automatic,Petrol,3300,5,5,Sana'a,body_damage,2018.0,2.0,sold,10.0,not_fully_electric,Korean,"April, 2017","February, 2018"
Jeep,Grand Cherokee,40_4,2017,5,USA,Silver,2007,SUV,103000,3.0,Automatic,Diesel,3200,5,5,Hudaydah,body_damage,,,unsold,,not_fully_electric,American,"May, 2017",
Kia,Rio,43_9,2017,4,Korea,Red,2011,Hatchback,80919,1.5,Manual,Diesel,3400,5,5,Hadhramout,body_damage,2018.0,7.0,sold,15.0,not_fully_electric,Korean,"April, 2017","July, 2018"
Hyundai,Santa Fe,36_20,2017,6,Korea,Black,2010,SUV,138000,2.2,Manual,Diesel,3200,5,5,Sana'a,clean,2018.0,12.0,sold,18.0,not_fully_electric,Korean,"June, 2017","December, 2018"
Kia,Rio,43_9,2017,4,Korea,Black,2011,Hatchback,66000,1.5,Manual,Diesel,3700,5,5,Hudaydah,body_damage,2018.0,10.0,sold,18.0,not_fully_electric,Korean,"April, 2017","October, 2018"
Mercedes-Benz,C Class,59_12,2017,4,USA,Blue,2007,Saloon,90185,1.8,Manual,Petrol,3400,5,4,Hadhramout,clean,2020.0,8.0,sold,40.0,not_fully_electric,European,"April, 2017","August, 2020"
Mercedes-Benz,C Class,59_12,2017,5,USA,Silver,2008,Coupe,80300,1.8,Automatic,Petrol,3400,4,2,Sana'a,body_damage,,,unsold,,not_fully_electric,European,"May, 2017",
Hyundai,Santa Fe,36_20,2017,7,Korea,Black,2007,SUV,87000,2.2,Automatic,Diesel,3500,7,5,Hudaydah,body_damage,2018.0,3.0,sold,8.0,not_fully_electric,Korean,"July, 2017","March, 2018"
Jeep,Grand Cherokee,40_4,2017,2,USA,Black,2007,SUV,134000,3.0,Automatic,Diesel,3300,5,5,Sana'a,body_damage,,,unsold,,not_fully_electric,American,"February, 2017",
Kia,Soul,43_12,2017,7,Korea,White,2011,Hatchback,52300,1.6,Manual,Diesel,3800,5,5,Hadhramout,body_damage,2019.0,4.0,sold,21.0,not_fully_electric,Korean,"July, 2017","April, 2019"
Hyundai,i30,36_10,2017,7,Korea,Blue,2012,Estate,73000,1.6,Manual,Diesel,3700,5,5,Sana'a,body_damage,2019.0,8.0,sold,25.0,not_fully_electric,Korean,"July, 2017","August, 2019"
Hyundai,i30,36_10,2017,3,Korea,Grey,2010,Hatchback,69000,1.6,Manual,Petrol,4000,5,5,Hudaydah,body_damage,2019.0,8.0,sold,29.0,not_fully_electric,Korean,"March, 2017","August, 2019"
Hyundai,i30,36_10,2017,2,Korea,Silver,2012,Hatchback,69780,1.6,Manual,Diesel,4000,5,5,Hudaydah,clean,2019.0,1.0,sold,23.0,not_fully_electric,Korean,"February, 2017","January, 2019"
Mercedes-Benz,C Class,59_12,2017,4,USA,Red,2008,Saloon,148000,2.1,Automatic,Diesel,3500,5,4,Aden,body_damage,,,unsold,,not_fully_electric,European,"April, 2017",
Hyundai,i30,36_10,2017,7,Korea,Silver,2011,Hatchback,57000,1.6,Manual,Diesel,4100,5,5,Hadhramout,clean,2019.0,2.0,sold,19.0,not_fully_electric,Korean,"July, 2017","February, 2019"
Jeep,Grand Cherokee,40_4,2017,5,USA,Black,2007,SUV,120000,3.0,Automatic,Diesel,3600,5,5,Aden,body_damage,,,unsold,,not_fully_electric,American,"May, 2017",
